iter	RMSE
0	0.1734816686
1	0.165853187
2	0.1586207068
3	0.1518001324
4	0.1452438831
5	0.1388746344
6	0.1328065758
7	0.1268508082
8	0.1213389427
9	0.1162361884
10	0.1110891267
11	0.106257269
12	0.1016752393
13	0.09729474553
14	0.09320377318
15	0.08940215222
16	0.08570095667
17	0.08210318142
18	0.07870276393
19	0.07549520771
20	0.0722867188
21	0.06929631182
22	0.06660419717
23	0.0638749783
24	0.061233135
25	0.05879431691
26	0.0564231473
27	0.05416210272
28	0.05203531264
29	0.04998815324
30	0.04803809197
31	0.04622180858
32	0.04454855897
33	0.04285963584
34	0.04127636493
35	0.03980749266
36	0.03848406301
37	0.03716539833
38	0.0358768429
39	0.03465773454
40	0.03345650532
41	0.03229161708
42	0.03125674009
43	0.03021541949
44	0.02930167121
45	0.02839762455
46	0.02757024417
47	0.026725007
48	0.02597162099
49	0.0252293986
50	0.02453369719
51	0.02387367176
52	0.023238392
53	0.02263238045
54	0.02207244281
55	0.02151817058
56	0.02097854562
57	0.02050850724
58	0.02006277658
59	0.01960619241
60	0.01917287271
61	0.01881056941
62	0.01844121463
63	0.01808693064
64	0.01775610045
65	0.01747097565
66	0.01716433237
67	0.01688916883
68	0.01662583239
69	0.01639243395
70	0.01614375305
71	0.01591455852
72	0.0156975651
73	0.01551188489
74	0.01531732597
75	0.01515725767
76	0.01497384916
77	0.01480623709
78	0.01465451005
79	0.01448855444
80	0.01435670215
81	0.01423146445
82	0.01410476865
83	0.01399432718
84	0.01386858459
85	0.01375770454
86	0.01364827423
87	0.01353915164
88	0.01346005981
89	0.01335853231
90	0.01326936711
91	0.01318966064
92	0.01309015855
93	0.01299985664
94	0.01292202753
95	0.01283110938
96	0.01274485759
97	0.01267055863
98	0.01260138637
99	0.01254016485
100	0.01248899653
101	0.01241991597
102	0.01235983286
103	0.01230210226
104	0.01223913186
105	0.01218578656
106	0.01213099479
107	0.01208425277
108	0.01203874404
109	0.01197671657
110	0.01192034253
111	0.01187724574
112	0.01182744137
113	0.01177364935
114	0.01174001716
115	0.01170467251
116	0.01166783926
117	0.01163223823
118	0.01159863639
119	0.01156286905
120	0.01152056832
121	0.01149405
122	0.01146497017
123	0.01142785774
124	0.01139364796
125	0.0113610794
126	0.01133376565
127	0.01130683793
128	0.0112792874
129	0.01124085925
130	0.0112119901
131	0.01118430786
132	0.01116817376
133	0.01114048473
134	0.01111996627
135	0.0111017521
136	0.01108911764
137	0.01106622446
138	0.01104225396
139	0.0110235744
140	0.01099884677
141	0.01097376074
142	0.01095632025
143	0.0109380817
144	0.01092123586
145	0.01089820884
146	0.0108869019
147	0.01086506773
148	0.01084902477
149	0.0108235182
150	0.0108053466
151	0.010791158
152	0.01077042698
153	0.01075030387
154	0.01073085583
155	0.01071977581
156	0.01070001211
157	0.01068729269
158	0.01066704928
159	0.01064769981
160	0.01062892142
161	0.01061529491
162	0.01060668164
163	0.01058820009
164	0.01057108663
165	0.01055501168
166	0.0105467579
167	0.01053395147
168	0.01052150391
169	0.01050523817
170	0.01048849813
171	0.01048187371
172	0.01047088454
173	0.01045323421
174	0.01043980898
175	0.01043025484
176	0.01041789785
177	0.01040321154
178	0.01038909203
179	0.01037427709
180	0.01036445672
181	0.01035634268
182	0.01034701435
183	0.01033520804
184	0.01032281689
185	0.01031247272
186	0.01029643583
187	0.0102805288
188	0.01026599658
189	0.01025304854
190	0.0102393629
191	0.01023002249
192	0.01022070282
193	0.01021052119
194	0.01019356252
195	0.01018166152
196	0.0101703718
197	0.01016344358
198	0.01015244981
199	0.01014322335
200	0.01013695398
201	0.01012295837
202	0.01011525789
203	0.01010436395
204	0.01009433299
205	0.01008567644
206	0.01008193246
207	0.01007744282
208	0.01006518272
209	0.01005660341
210	0.01004309213
211	0.01003264957
212	0.0100276683
213	0.01001697678
214	0.01000482839
215	0.009992275082
216	0.009984101102
217	0.009977997939
218	0.009969932079
219	0.009967209168
220	0.009960852117
221	0.00995314724
