cycle,time 3.9v,time 4.0v,time 4.1v,time 4.2v,time end,SoH,cell
2,614.672,1647.109,2641.969,3348.359,7167.641,0.945526147695395,B0007
3,683.984,1728.828,2681.0,3345.234,7139.313,0.9403185138434295,B0007
4,678.968,1746.984,2692.218,3347.578,7050.312,0.9403313358505694,B0007
5,678.5,1754.859,2691.328,3346.203,7149.0,0.9403854504916722,B0007
6,693.406,1762.375,2691.063,3347.844,7444.828,0.9397254364142529,B0007
7,704.172,1774.016,2694.125,3338.078,7451.907000000001,0.9403501758558702,B0007
8,713.047,1782.078,2694.922,3337.531,6790.031,0.9399676261783038,B0007
9,722.359,1796.5,2701.219,3344.906,6803.046999999994,0.9407544062019398,B0007
10,722.766,1799.844,2705.204,3339.735,6822.358999999999,0.9348453935192922,B0007
11,722.641,1799.734,2703.812,3337.297,6782.0779999999995,0.9350261900695995,B0007
12,717.985,1798.766,2705.516,3341.204,6672.031000000001,0.9350221197094288,B0007
13,389.36,1409.516,2234.922,2837.532,6749.343,0.9298259493883182,B0007
14,728.64,1808.969,2694.375,3324.781,6627.578,0.9295373280431103,B0007
15,732.593,1807.453,2701.718,3322.5,7435.531000000003,0.9295042288854616,B0007
16,718.235,1799.672,2693.141,3312.657,6609.093,0.9296811293478524,B0007
17,717.578,1781.0,2671.578,3287.953,6712.2970000000005,0.9293677725300518,B0007
18,717.89,1782.421,2672.359,3291.781,6644.250000000001,0.9239086456610724,B0007
19,722.188,1781.704,2673.844,3293.141,6696.391,0.9242626458068524,B0007
20,712.735,1772.0,2651.516,3278.235,6880.546999999999,0.924189475925017,B0007
21,477.922,1522.453,2558.031,3235.578,7053.734,0.9403902718804883,B0007
22,642.844,1781.5,2747.203,3407.047,6876.030999999994,0.9407360798721799,B0007
23,661.64,1808.328,2750.672,3400.797,6880.592999999999,0.9405477156622393,B0007
24,672.156,1793.328,2732.547,3369.062,6712.735000000001,0.9355044824889998,B0007
25,671.094,1783.032,2730.813,3366.219,7431.1089999999995,0.9350997575970688,B0007
