cycle,time 3.9v,time 4.0v,time 4.1v,time 4.2v,time end,SoH,cell
2,619.234,1622.719,2571.859,3241.797,7274.2029999999995,0.9282437104090787,B0005
3,632.547,1654.125,2579.672,3238.719,7245.828,0.9231636248599635,B0005
4,627.515,1663.265,2570.593,3229.203,7168.687,0.9176745971117038,B0005
5,636.406,1679.109,2579.578,3228.218,7266.985,0.9176312637910564,B0005
6,641.578,1686.563,2589.031,3229.438,7563.234,0.9173227541060209,B0005
7,651.766,1697.5,2592.36,3231.672,7558.313,0.9178308300337747,B0005
8,660.5,1705.406,2603.218,3243.062,6884.5,0.9175730714613302,B0005
9,650.547,1702.594,2579.266,3215.328,6932.6249999999945,0.9128783952832769,B0005
10,655.594,1705.329,2583.032,3221.688,6940.405999999999,0.9123869264945667,B0005
11,660.094,1697.172,2581.922,3219.437,6899.938,0.912306634248468,B0005
12,665.141,1704.344,2593.313,3222.688,6790.5470000000005,0.9123097763432252,B0005
13,462.047,1478.797,2320.563,2927.032,6659.843,0.9071009678836959,B0005
14,651.75,1697.781,2573.094,3196.0,6756.359,0.9068760788774527,B0005
15,660.172,1704.656,2570.156,3193.3429999999935,7564.688000000009,0.9067202457367911,B0005
16,660.61,1697.016,2571.547,3195.625,6726.125,0.9012990018153252,B0005
17,636.656,1671.11,2541.141,3171.703,6828.5470000000005,0.901053450123075,B0005
18,636.812,1664.125,2541.515,3162.968,6773.063000000001,0.9012897504131046,B0005
19,645.704,1671.672,2543.016,3164.313,6825.218999999999,0.9015341571417048,B0005
20,650.703,1670.782,2541.563,3161.391,6997.391,0.9013888123598021,B0005
21,419.234,1444.141,2458.078,3132.281,7157.031,0.9235129974664597,B0005
22,615.344,1712.875,2644.11,3299.735,6983.3429999999935,0.923708655641822,B0005
23,624.406,1721.703,2647.015,3304.75,6976.639999999999,0.9180887106739474,B0005
24,602.844,1690.281,2619.703,3262.141,6819.656000000001,0.9128903737888121,B0005
25,583.953,1663.688,2587.703,3235.703,7561.625,0.9125568217539184,B0005
26,579.953,1656.218,2589.015,3238.422,6860.796,0.9127907521101881,B0005
27,584.64,1665.39,2580.703,3229.0,6849.718999999999,0.9070155637541953,B0005
28,562.453,1632.188,2550.328,3193.797,7423.5779999999995,0.9073845970579469,B0005
29,563.125,1624.204,2549.797,3194.641,7369.516,0.906984694355176,B0005
30,562.594,1623.859,2550.516,3195.984,6948.0,0.9013828325839115,B0005
31,545.313,1599.891,2520.719,3161.766,7628.686999999994,0.902038520058676,B0005
32,526.047,1551.953,2515.641,3173.625,7269.266,0.9259012758352243,B0005
34,597.516,1663.391,2580.344,3219.484,6894.1720000000005,0.9099520544750633,B0005
35,572.75,1635.609,2545.953,3186.093,6951.797,0.9046539818514259,B0005
36,544.5,1597.438,2508.016,3149.047,7502.609999999999,0.90230495229026,B0005
37,519.782,1560.641,2471.219,3112.188,6920.2970000000005,0.8996885325986096,B0005
38,512.484,1545.765,2460.89,3102.5,7471.7970000000005,0.8942216167685231,B0005
39,509.625,1544.188,2449.25,3087.985,7373.75,0.8914615242126361,B0005
40,484.218,1504.937,2414.89,3054.062,6939.0000000000055,0.8865168579009144,B0005
41,471.656,1480.172,2387.0,3031.734,7570.5470000000005,0.8865188775394685,B0005
42,451.86,1450.313,2357.063,3001.938,7666.030999999999,0.8839360553331027,B0005
43,458.671,1461.046,2362.921,3003.828,7500.953000000001,0.8811575352046543,B0005
44,461.812,1464.25,2358.906,2995.328,7251.453000000001,0.8838086462469223,B0005
45,450.109,1448.453,2340.25,2979.047,7187.171999999997,0.8813341798715735,B0005
46,424.406,1409.656,2342.531,3001.297,7803.625,0.8758652435332072,B0005
