cycle,CCCT,CVCT,SoH,cell
1.0,6671.683200205512,2212.9986354321536,1.0307332827746163,CS2_36
2.0,6666.933312022656,2204.3736261602,1.0303758820440152,CS2_36
3.0,6662.682286644406,2201.186076014451,1.0298441910796283,CS2_36
4.0,6656.650721758844,2225.592597365354,1.0245757020808839,CS2_36
5.0,6693.7885696829,2052.8491532307453,1.024283350725465,CS2_36
6.0,6692.824462561308,2016.772509990289,1.0220554705282252,CS2_36
7.0,6611.138098863703,2133.3906851653373,1.0136468333403585,CS2_36
8.0,6567.52747960687,2132.390338633966,1.0081514677955314,CS2_36
9.0,6549.85575546787,2121.577961984498,1.0068984176048228,CS2_36
10.0,6532.652939652675,2116.187200803921,1.0052473081774198,CS2_36
11.0,6532.12234636597,2067.800173493568,1.00752450845689,CS2_36
12.0,6585.805414710121,1995.521538721121,1.0117565293230955,CS2_36
13.0,6601.762038962479,1962.4134446435785,1.011807323064578,CS2_36
14.0,6605.545731438324,1943.820779832051,1.011633787951012,CS2_36
15.0,6608.172973774636,1929.7434075989293,1.011325506138511,CS2_36
16.0,6610.19082131164,1913.9319539814603,1.0110820549144641,CS2_36
17.0,6612.958308546309,1898.745094695216,1.0109206371055963,CS2_36
18.0,6611.6634021762,1892.0104572364944,1.0072731241656172,CS2_36
19.0,6609.42848473927,1886.5553298254963,1.0068500454132236,CS2_36
20.0,6607.179659299349,1879.6832511259129,1.0064892014152171,CS2_36
21.0,6605.321031822852,1871.3554058730952,1.0061384573774015,CS2_36
22.0,6602.697030829935,1866.3558816855077,1.0058882352641347,CS2_36
23.0,6601.464632574265,1860.0281428232263,1.0057316885597436,CS2_36
24.0,6600.590386494063,1854.294043097412,1.005305604288443,CS2_36
25.0,6597.6997310312,1850.2941904639592,1.0049617873128096,CS2_36
26.0,6592.684472929861,1847.3410706607392,1.0046713300381467,CS2_36
27.0,6552.461273415247,1935.11701527267,0.9960952730800395,CS2_36
28.0,6472.704793040757,2001.908562639961,0.9900999117381454,CS2_36
29.0,6446.89059779339,2014.5018264080863,0.989008070933253,CS2_36
30.0,6429.311224831967,2026.298388089519,0.9883095131964112,CS2_36
31.0,6408.576510559069,2046.844408058154,0.9872587966940627,CS2_36
32.0,6445.305092350987,1934.6472046901472,0.9945690151434255,CS2_36
33.0,6499.998839121778,1895.2272395027103,0.9954249580413289,CS2_36
34.0,6467.059631872107,1980.7374838876424,0.9870975255260591,CS2_36
35.0,6400.63951951015,2020.829043279344,0.9813121297091638,CS2_36
36.0,6375.669817810529,2041.5316160356745,0.9810763800629173,CS2_36
37.0,6374.075888458174,2037.453595448751,0.9804173850389389,CS2_36
38.0,6359.825515278499,2052.531656400999,0.9806099965027989,CS2_36
39.0,6409.9768728577765,1939.0376876595544,0.9878372781836375,CS2_36
40.0,6452.668705274991,1915.9916871201715,0.988251834097,CS2_36
41.0,6414.41599200858,2012.6105854437335,0.9798119930130696,CS2_36
42.0,6347.623204690928,2052.203297644912,0.978891628919443,CS2_36
43.0,6343.642551944533,2044.0629138086224,0.9786110359062966,CS2_36
44.0,6339.24826933007,2044.9850027230568,0.9743858220071643,CS2_36
45.0,6323.029122641077,2069.8747259617085,0.973747956261133,CS2_36
46.0,6363.27201974811,1959.7551168929783,0.9813571347633916,CS2_36
47.0,6414.402419266058,1924.0383293385385,0.9820941087126972,CS2_36
48.0,6386.744275586912,2004.782962363446,0.9741192042845905,CS2_36
49.0,6328.201883577858,2043.2662323433904,0.9734241997050396,CS2_36
50.0,6322.311106238281,2039.735026496928,0.972883807692713,CS2_36
51.0,6316.061027338496,2038.4850639655488,0.9723773786648663,CS2_36
52.0,6294.997611024068,2073.687106206314,0.9715469119271792,CS2_36
53.0,6298.639703604367,2087.3435724571245,1.0045720678012202,CS2_36
54.0,6506.197664491885,2113.514484312058,0.9991754168525385,CS2_36
55.0,6541.09853853373,1987.8640474868157,1.004533243761167,CS2_36
56.0,6558.900368220791,1958.70971469894,1.0043324197826446,CS2_36
57.0,6515.520681488866,2042.2668783757251,0.9966342131402842,CS2_36
58.0,6453.512104946552,2078.2813089931733,0.9907668989411409,CS2_36
59.0,6436.746954392875,2073.515739678114,0.9896873591209978,CS2_36
60.0,6383.573385147203,2165.887636441985,0.9825100632251698,CS2_36
61.0,6373.827173413723,2098.141218322984,0.9873538511256056,CS2_36
62.0,6378.813625235969,2103.906671771969,0.9825541647894409,CS2_36
63.0,6340.372889830411,2165.0752349525283,0.9798908707470877,CS2_36
64.0,6306.867181210109,2170.324823647796,0.9750067669199308,CS2_36
65.0,6303.228376704647,2155.590809681424,0.9742225961539662,CS2_36
66.0,6292.385229811218,2153.40343933148,0.973698343972792,CS2_36
67.0,6268.869390278473,2196.574256872118,0.97220662395147,CS2_36
68.0,6267.529170638736,2158.264079176588,0.9728258460560189,CS2_36
69.0,6278.155071307701,2144.0457839149167,0.9725490459877671,CS2_36
70.0,6259.29422657931,2177.090417063271,0.9664516486298228,CS2_36
71.0,6231.525462645368,2187.496430325205,0.9660678306764298,CS2_36
72.0,6231.306979036977,2177.809225625388,0.9657193395248952,CS2_36
73.0,6229.713866550475,2169.4029874734115,0.9653344733078515,CS2_36
74.0,6206.901265880326,2204.1678551755613,0.9645373173815655,CS2_36
75.0,6222.811414014956,2150.0917965336703,0.9655929686367976,CS2_36
76.0,6233.936989953392,2144.483130938257,0.9652568731609353,CS2_36
77.0,6229.577729414916,2140.217561291181,0.9648869882220802,CS2_36
78.0,6222.405633149203,2150.6548630787875,0.9646334474130996,CS2_36
79.0,6218.79642611969,2149.4205526974984,0.9644173509850733,CS2_36
82.0,6222.437313932402,2161.0610182042583,0.9636091063853052,CS2_36
83.0,6203.124954299885,2154.029968053859,0.9633018969503399,CS2_36
84.0,6197.968953574658,2159.717269639252,0.9630780297615457,CS2_36
85.0,6191.67183422565,2160.87344961043,0.9628652164100867,CS2_36
